X,Y,Color
11.2,4.1,light green
2.9,8.8,light green
13.3,40.4,light green
8.8,9.1,light green
19.9,3.4,light green
17.5,16.2,light green
1.6,0.3,light green
13.5,12.8,light green
0.8,8.1,light green
2.9,73.6,light green
26.0,10.4,light green
23.1,3.9,light green
2.7,90.3,light green
5.6,3.2,light green
20.7,25.1,light green
28.9,3.1,light green
19.4,8.4,light green
5.6,5.3,light green
12.7,48.5,light green
10.9,18.8,light green
19.9,24.0,light green
22.0,42.8,light green
25.8,32.6,light green
24.4,23.5,light green
12.7,67.3,light green
13.3,89.1,light green
26.0,17.7,light green
15.4,60.0,light green
26.8,22.0,light green
19.4,74.2,light green
6.4,45.1,light green
29.5,11.2,light green
27.9,13.8,light green
2.4,17.0,light green
13.5,6.8,light green
11.7,0.6,light green
21.0,39.4,light green
14.1,10.9,light green
13.0,17.0,light green
19.4,74.2,light green
20.4,10.4,light green
2.7,3.4,light green
11.9,33.2,light green
10.1,18.8,light green
15.9,5.0,light green
10.6,96.8,light green
2.1,90.8,light green
25.2,41.2,light green
21.0,2.4,light green
19.9,59.3,light green
15.7,3.6,light green
15.4,9.6,light green
15.7,40.5,light green
20.7,13.0,light green
14.9,18.0,light green
12.5,6.6,light green
22.0,21.2,light green
28.9,29.5,light green
23.4,4.5,light green
13.5,18.5,light green
16.2,51.5,light green
1.1,37.8,light green
14.9,40.7,light green
25.5,7.1,light green
12.5,5.0,light green
22.0,39.9,light green
2.7,30.6,light green
7.7,54.0,light green
15.7,23.3,light green
2.1,0.5,light green
8.0,74.6,light green
1.1,11.3,light green
13.3,49.3,light green
16.5,9.1,light green
14.1,89.0,light green
11.7,68.2,light green
11.4,23.8,light green
24.2,24.1,light green
15.7,57.7,light green
18.8,13.1,light green
19.1,7.8,light green
11.2,5.7,light green
25.5,16.5,light green
25.5,40.7,light green
28.9,45.1,light green
28.7,67.4,light green
23.4,14.3,light green
19.4,6.3,light green
15.1,60.3,light green
13.0,11.0,light green
14.6,1.8,light green
19.9,7.0,light green
18.8,79.4,light green
14.9,7.8,light green
28.4,47.5,light green
3.5,4.9,light green
5.8,59.0,light green
6.9,85.9,light green
23.4,24.5,light green
7.4,87.7,light green
8.0,42.8,light green
17.5,10.4,light green
6.4,20.7,light green
6.1,72.9,light green
28.4,16.0,light green
11.4,15.9,light green
9.0,59.8,light green
16.2,37.4,light green
2.1,15.7,light green
28.7,15.2,light green
1.1,16.7,light green
10.1,4.1,light green
29.7,45.1,light green
27.6,57.4,light green
23.1,25.3,light green
28.9,11.8,light green
5.3,7.0,light green
15.9,10.9,light green
11.7,66.1,light green
2.1,13.8,light green
26.8,46.0,light green
5.3,16.7,light green
1.9,16.4,light green
10.9,18.8,light green
21.5,37.0,light green
29.5,28.5,light green
12.5,54.8,light green
22.6,14.1,light green
10.1,35.7,light green
15.9,77.8,light green
24.4,6.8,light green
5.0,12.2,light green
27.3,1.6,light green
7.2,54.0,light green
25.5,13.9,light green
6.4,71.0,light green
7.4,30.8,light green
19.4,80.4,light green
28.4,55.8,light green
2.1,21.1,light green
22.8,23.7,light green
29.5,68.2,light green
20.2,3.7,light green
15.1,16.4,light green
2.4,20.6,light green
15.4,29.2,light green
22.6,19.1,light green
30.0,11.0,light green
19.4,4.4,light green
21.5,40.8,light green
12.7,11.0,light green
22.8,11.3,light green
22.6,24.1,light green
21.5,2.1,light green
26.8,16.4,light green
19.1,28.0,light green
17.0,17.2,light green
24.7,10.4,light green
19.4,17.3,light green
27.3,17.8,light green
18.3,8.3,light green
12.2,28.2,light green
13.0,87.7,light green
28.9,45.5,light green
4.2,31.6,light green
5.8,10.0,light green
25.5,25.0,light green
30.0,9.4,light green
24.7,34.4,light green
10.9,1.1,light green
15.7,29.2,light green
10.4,42.6,light green
26.0,72.3,light green
9.0,5.2,light green
19.1,59.6,light green
20.2,25.6,light green
11.7,6.6,light green
11.4,27.4,light green
20.4,31.9,light green
18.8,26.4,light green
5.3,7.6,light green
2.7,0.8,light green
2.9,59.3,light green
4.8,22.7,light green
5.3,27.4,light green
25.8,24.6,light green
26.5,40.5,light green
5.6,17.3,light green
6.4,28.0,light green
29.7,36.1,light green
25.8,45.9,light green
11.4,2.1,light green
28.4,47.3,light green
8.8,86.4,light green
28.1,9.9,light green
17.3,3.4,light green
14.9,25.9,light green
27.3,9.7,light green
15.1,31.8,light green
7.4,24.3,light green
10.1,15.6,light green
10.1,75.0,light green
23.1,14.6,light green
23.4,8.6,light green
7.2,87.4,light green
2.4,29.8,light green
7.2,6.5,light green
8.8,72.6,light green
10.9,13.6,light green
23.9,53.2,light green
11.7,24.8,light green
19.4,12.5,light green
21.5,33.5,light green
2.4,8.9,light green
20.2,48.6,light green
25.2,29.8,light green
1.1,32.6,light green
23.6,8.3,light green
20.2,3.9,light green
15.4,59.5,light green
2.7,46.8,light green
17.5,25.4,light green
8.0,15.7,light green
28.7,67.7,light green
13.8,60.5,light green
2.4,21.2,light green
7.2,11.5,light green
28.1,47.0,light green
24.2,1.6,light green
12.2,24.8,light green
16.2,16.0,light green
5.0,9.7,light green
20.4,26.1,light green
22.6,6.8,light green
15.4,32.4,light green
4.0,54.8,light green
26.0,52.8,light green
8.0,24.5,light green
21.2,88.2,light green
6.4,21.2,light green
17.0,3.4,light green
29.5,3.9,light green
25.0,88.2,light green
28.4,36.1,light green
10.9,96.3,light green
2.4,3.1,light green
14.1,66.6,light green
12.2,32.9,light green
5.6,22.0,light green
25.5,4.4,light green
16.2,38.9,light green
24.2,0.6,light green
28.7,11.5,light green
21.2,60.8,light green
12.5,32.4,light green
23.1,60.3,light green
19.9,48.6,light green
25.2,83.8,light green
17.5,25.6,light green
14.6,4.4,light green
22.3,8.9,light green
18.8,10.4,light green
22.6,21.7,light green
7.2,27.9,light green
6.9,12.6,light green
6.9,39.7,light green
25.5,21.1,light green
21.0,21.4,light green
22.0,39.7,light green
18.3,66.0,light green
10.9,12.0,light green
3.2,31.3,light green
27.9,24.5,light green
30.0,16.0,light green
22.6,7.5,light green
18.1,13.5,light green
28.9,19.4,light green
2.1,46.2,light green
6.4,22.9,light green
